,smell value,TEST
9,3.0,0.0
10,4.0,0.000759551
11,5.0,0.0
12,4.0,0.0
13,4.0,0.029896835
14,5.0,0.045668998
15,4.0,0.056918115
16,3.0,0.006338945
17,8.0,0.034027997
18,10.0,0.047681243
19,5.0,0.009183818
20,5.0,0.014711206
21,5.0,0.081123736
22,4.0,0.0
23,4.0,0.0
24,15.0,0.0
25,5.0,0.011876445
26,5.0,0.031586216
27,10.0,0.050864849
28,8.0,0.041487993
29,4.0,0.076159255
30,5.0,0.090089121
31,4.0,0.084935547
32,3.0,0.027936061
33,5.0,0.066229713
34,4.0,0.051906898
35,8.0,0.070571694
36,18.0,0.068999255
37,5.0,0.063732531
38,5.0,0.09904205
39,4.0,0.001081542
40,5.0,0.002576766
41,7.0,0.136992346
42,27.0,0.1083039
43,10.0,0.126492298
44,5.0,0.110674165
45,7.0,0.099308643
46,4.0,0.065304633
47,5.0,0.135558809
48,4.0,0.090449565
49,21.0,0.089942156
50,14.0,0.071623312
51,4.0,0.062637267
52,10.0,0.055232381
53,20.0,0.038348257
54,5.0,0.097882674
55,3.0,0.0
56,4.0,0.123731381
57,10.0,0.120506003
58,5.0,0.196425723
59,15.0,0.08115692
60,5.0,0.055014575
61,5.0,0.027658872
62,5.0,0.146054346
63,5.0,0.118136616
64,5.0,0.189461272
65,4.0,0.15909825
66,5.0,0.126947497
67,9.0,0.100178752
68,8.0,0.084684167
69,5.0,0.064349959
70,5.0,0.0
71,5.0,0.310058826
72,10.0,0.369560629
73,8.0,0.279780445
74,3.0,0.117287499
75,4.0,0.081051401
76,4.0,0.222861226
77,14.0,0.204578116
78,4.0,0.125119288
79,5.0,0.0
80,4.0,0.339789589
81,5.0,0.276317638
82,3.0,0.156949881
83,4.0,0.164489502
84,10.0,0.093902982
85,3.0,0.070081621
86,5.0,0.042833914
87,5.0,0.041810918
88,4.0,0.032142313
0,4.0,5.2151e-05
1,3.0,0.0
2,1.0,0.0
3,1.0,0.0
4,5.0,0.0008872719999999999
5,3.0,0.0
6,4.0,2.81868e-05
7,5.0,0.00016765069999999998
8,5.0,0.0003019285
9,4.0,0.0
10,5.0,4.0741000000000005e-06
11,10.0,1.84581e-05
12,4.0,0.000377659
13,5.0,3.02685e-05
14,3.0,0.0
15,4.0,0.0100927905
16,5.0,4.29176e-05
17,4.0,0.002609701
18,4.0,0.0077345048
19,4.0,0.0051505431
20,5.0,0.0065849726
21,5.0,0.0087838274
22,5.0,0.0027495331
23,4.0,0.0
24,9.0,0.011877122
25,5.0,0.0141636307
26,3.0,0.0173379766
27,11.0,0.0180700263
28,3.0,0.0202681196
29,3.0,0.0079958338
30,3.0,0.0294117528
31,9.0,0.0164017307
32,5.0,0.0200856654
33,5.0,0.0186401252
34,3.0,0.0177775912
35,10.0,0.0177274419
36,4.0,0.0832725773
37,5.0,0.0321953162
38,5.0,6.2342e-05
39,3.0,0.0194258606
40,3.0,0.022191995
41,1.0,0.0234853086
42,1.0,0.004968869
43,5.0,0.0121997652
44,4.0,0.0150786234
45,5.0,0.021801573
46,4.0,0.0224349866
47,12.0,0.0231184871
48,5.0,0.0431744317
49,10.0,0.0319107109
50,5.0,0.0258632761
51,3.0,0.0295879465
52,5.0,0.0324302872
53,5.0,0.0349554318
54,4.0,0.0208132481
55,4.0,0.0601316682
56,3.0,0.0292260371
57,3.0,0.0014529818
58,5.0,0.007756673
0,5.0,0.0
1,10.0,0.0
2,4.0,0.0
3,5.0,0.007225397
4,4.0,0.083282915
5,5.0,0.0
6,5.0,0.146864456
7,4.0,0.0
8,3.0,0.0
9,5.0,0.0
10,5.0,0.0
11,2.0,0.081363227
12,4.0,0.086092788
13,5.0,0.064411503
14,5.0,0.0
15,4.0,0.116554676
16,4.0,0.074793043
17,5.0,0.104516468
18,4.0,0.084079399
19,14.0,0.057195987999999996
20,5.0,0.056136796
21,3.0,0.0009027120000000001
22,9.0,0.064498644
23,3.0,0.137674671
24,11.0,0.110535943
25,3.0,0.09759093
26,3.0,0.089294307
27,5.0,0.0
28,4.0,0.058234667
29,10.0,0.059782224
30,5.0,0.041335722
31,1.0,0.052368295
32,4.0,0.309584839
33,4.0,0.247264795
34,2.0,0.13564104899999999
35,4.0,0.052842067
36,5.0,0.060201575
37,3.0,0.14376643
38,3.0,0.065455036
39,3.0,0.03586419
40,3.0,0.035364564
41,2.0,0.070043653
42,3.0,0.075187208
43,3.0,0.100994421
44,4.0,0.043462932
45,3.0,0.128557439
46,3.0,0.130762707
47,5.0,0.007857923
48,3.0,0.071466715
49,5.0,0.001073812
50,2.0,0.108050418
51,3.0,0.000953638
0,5.0,0.0
1,3.0,5.7437e-06
2,4.0,0.0
3,4.0,0.0
4,3.0,2.3466e-05
5,1.0,5.78357e-05
6,8.0,0.0013117206
7,3.0,0.0262646455
8,3.0,0.0200047332
9,3.0,0.0030224577
10,2.0,0.0031132478
11,4.0,0.0024353934
12,3.0,0.0019513223
13,4.0,0.0153620721
14,4.0,0.0052113139
15,10.0,0.0044828525
16,3.0,0.0048064151
17,3.0,0.0081577246
18,5.0,0.0346691606
19,3.0,0.0116979492
20,4.0,0.011974692299999999
21,6.0,0.3030929281
22,3.0,0.0387664763
23,5.0,0.0271705861
24,5.0,0.0057316883
25,4.0,0.0099979099
26,2.0,0.0021028342
27,3.0,0.0018169398000000001
0,1.0,0.0
1,5.0,0.0
2,5.0,0.0
3,4.0,0.0
4,7.0,0.0
5,4.0,0.0
6,3.0,0.004579365
7,5.0,0.015627922
8,3.0,0.046525925
9,3.0,0.026653036
10,4.0,0.050016184
11,5.0,0.03131193
12,5.0,0.0441409491
13,6.0,0.029604451
14,5.0,0.0905900432
15,16.0,0.06163547
16,14.0,0.0929429786
17,14.0,0.0628719209
18,4.0,0.0330885895
19,5.0,0.04400656
20,5.0,0.053732381
21,14.0,0.053211392
22,21.0,0.0313331311
23,5.0,0.0957111183
24,6.0,0.1726793321
25,3.0,0.0805176001
26,3.0,0.1178025675
27,4.0,0.0506165767
28,4.0,0.0445623104
29,8.0,0.0455718948
30,4.0,0.479181907
31,8.0,0.10167577
32,13.0,0.054587481
33,15.0,0.044264767
34,4.0,0.220986553
35,9.0,0.0871627019
36,1.0,0.000100737
37,4.0,0.100041818
38,5.0,0.665937787
0,5.0,0.0
1,1.0,2.414e-06
2,15.0,6.63565e-05
3,10.0,7.86678e-05
4,4.0,3.11343e-05
5,3.0,0.0010551935
6,4.0,0.0002930199
7,4.0,0.0016487852
8,4.0,0.0014932357000000001
9,3.0,0.00126574
10,5.0,0.0058454894
11,3.0,0.0019906982
12,4.0,0.002847001
13,5.0,0.0026351871
14,3.0,0.0049244846
15,3.0,0.0033060286
16,5.0,0.0036742356
17,5.0,0.0049066717
18,5.0,0.0043565334
19,5.0,0.0083008861
20,8.0,0.08005953539999999
21,3.0,0.0083447483
0,5.0,0.007158286
1,4.0,0.0
2,4.0,0.0
3,4.0,0.00645594
4,9.0,0.0
5,5.0,0.0
6,5.0,0.013829927
7,4.0,0.0
8,5.0,0.0
9,4.0,0.0
10,5.0,0.06972296
11,4.0,0.088390549
12,4.0,0.095673815
13,4.0,0.085089511
14,3.0,0.147250794
15,5.0,0.192390219
16,4.0,0.036999699
17,7.0,0.073735027
18,4.0,0.14094791
19,5.0,0.138672141
20,14.0,0.118094432
21,3.0,0.153496604
22,16.0,0.188839004
23,10.0,0.10260589
24,10.0,0.077326777
25,8.0,0.074239891
26,9.0,0.047987612
27,4.0,0.093906626
28,8.0,0.013470452
29,5.0,0.109221087
30,15.0,0.133865423
31,4.0,0.128018791
32,4.0,0.10326077
33,5.0,0.059108985
34,16.0,0.096107395
35,5.0,0.051800704
36,5.0,0.019299767
37,5.0,0.08341003
38,9.0,0.053214312
39,5.0,0.059053207
40,4.0,0.040328308
41,5.0,0.086234392
42,5.0,0.059843171
43,5.0,0.232389519
44,12.0,0.075759417
45,4.0,0.047780258
46,4.0,0.27817354
47,5.0,0.552318426
48,5.0,0.11634417
49,5.0,0.079722316
50,4.0,0.125392989
51,5.0,0.101267283
52,8.0,0.076386882
53,3.0,0.201787065
54,8.0,0.140399401
55,1.0,0.00011648
56,4.0,0.014551839
57,3.0,0.00529938
0,5.0,0.0
1,10.0,1.04e-06
2,4.0,0.000210706
3,5.0,0.0007405256
4,5.0,0.0047461049
5,5.0,0.027613445
6,9.0,0.016871284
7,5.0,0.017822625
8,5.0,0.0096731441
9,5.0,0.0012573716
10,5.0,0.003328681
11,4.0,0.0017056523
12,5.0,0.0023314908
13,5.0,0.0040128542
14,3.0,0.0017800014
15,5.0,0.009733273
16,3.0,0.0138267388
0,5.0,0.0
1,3.0,0.014391128
2,4.0,0.113635308
3,4.0,0.085282968
4,5.0,0.0
5,4.0,0.209605557
6,5.0,0.577525715
7,4.0,0.082008275
8,8.0,0.065725995
9,5.0,0.111744929
10,3.0,0.001350657
11,3.0,0.054625453
12,5.0,0.041749181
13,5.0,0.683187248
14,5.0,0.978498192
15,5.0,0.080648847
16,5.0,0.078062988
17,5.0,0.13496148
18,4.0,0.109555681
19,5.0,0.20136215699999999
20,5.0,0.135711075
21,4.0,0.090477064
22,4.0,0.012876598
23,5.0,0.077348266
24,3.0,0.131440073
25,5.0,0.155877454
26,5.0,0.23276502400000001
27,5.0,0.110950598
28,6.0,0.10023164
29,5.0,0.0412275
30,5.0,0.167930987
31,4.0,0.129940316
32,20.0,0.03557984
33,5.0,0.104645235
34,5.0,0.060573864
35,3.0,0.018145457
36,4.0,0.002043012
37,5.0,0.248472227
38,5.0,0.0
39,5.0,0.068263159
40,4.0,0.065559129
41,3.0,0.022988174
42,2.0,0.17997743
43,5.0,0.004169241
44,4.0,1.7233e-05
0,5.0,0.019403308
1,2.0,0.0
2,10.0,0.016396063
3,5.0,0.02290505
4,4.0,0.006457879
5,5.0,0.019468508
6,10.0,0.025462794
7,4.0,0.016931328
8,3.0,0.0211444885
9,4.0,0.0260408918
10,3.0,0.0089092785
11,3.0,0.017614733
12,4.0,0.0054258686
13,4.0,0.0125754586
14,3.0,0.0084174851
15,5.0,0.0
16,5.0,0.0225726852
17,5.0,0.018681771
18,3.0,0.0212826245
19,4.0,0.0196680731
20,5.0,0.0128306107
21,5.0,0.0083536683
22,3.0,0.0149579501
23,2.0,0.0061802542
0,5.0,6.8465e-05
1,8.0,0.000705705
2,5.0,0.003729719
3,9.0,0.002425729
4,4.0,0.00981921
5,3.0,0.028584486
6,3.0,0.037164253
7,3.0,0.024242415
8,4.0,0.033723845
9,4.0,0.061694784
10,4.0,0.903736107
11,3.0,0.09587261799999999
12,3.0,0.074604843
13,5.0,0.063996797
14,5.0,0.046870468
15,5.0,0.080056528
16,5.0,0.082039625
17,4.0,0.079078354
